State,Ed_spending_FY2018_thousands
Alabama,"7,327,918"
Alaska,"2,362,970"
Arizona,"7,713,512"
Arkansas,"4,899,604"
California,"79,023,632"
Colorado,"9,168,278"
Connecticut,"10,509,414"
Delaware,"1,954,576"
District of Columbia,"1,175,381"
Florida,"26,855,594"
Georgia,"18,783,387"
Hawaii,"2,773,688"
Idaho,"2,200,780"
Illinois,"31,764,163"
Indiana,"10,365,634"
Iowa,"6,039,833"
Kansas,"5,797,384"
Kentucky,"7,628,569"
Louisiana,"7,399,923"
Maine,"2,645,498"
Maryland,"13,214,457"
Massachusetts,"16,732,275"
Michigan,"16,655,891"
Minnesota,"11,198,569"
Mississippi,"4,274,739"
Missouri,"9,749,824"
Montana,"1,721,701"
Nebraska,"4,041,381"
Nevada,"4,235,717"
New Hampshire,"2,915,356"
New Jersey,"28,929,684"
New Mexico,"3,049,739"
New York,"66,172,625"
North Carolina,"13,683,121"
North Dakota,"1,551,404"
Oklahoma,"5,512,670"
Ohio,"21,918,361"
Oregon,"7,174,911"
Pennsylvania,"28,544,883"
Rhode Island,"2,337,880"
South Carolina,"8,265,270"
South Dakota,"1,407,349"
Tennessee,"9,639,660"
Texas,"49,423,693"
Utah,"4,590,104"
Vermont,"1,506,357"
Virginia,"15,853,160"
Washington,"14,452,717"
West Virginia,"3,128,251"
Wisconsin,"10,635,641"
Wyoming,"1,524,442"